Entry ID,User_Type,Submitter
INC000000462509,,Remedy Application Service
INC000000462409,Others,activationuser
INC000000462318,Others,AR_ESCALATOR
INC000000462317,Others,AR_ESCALATOR
INC000000462316,Others,AR_ESCALATOR
INC000000462315,Others,AR_ESCALATOR
INC000000462314,Others,AR_ESCALATOR
INC000000462313,Others,AR_ESCALATOR
INC000000462312,Others,AR_ESCALATOR
INC000000462311,Others,AR_ESCALATOR
INC000000462310,Others,AR_ESCALATOR
INC000000462309,Others,AR_ESCALATOR
INC000000462209,Others,AR_ESCALATOR
INC000000462117,Others,Remedy Application Service
INC000000462116,Others,Remedy Application Service
INC000000462115,Others,n/a
INC000000462114,Others,JAVIERS
INC000000462113,VIP,JAVIERS
INC000000462112,Others,JAVIERS
INC000000462111,Others,REMADMIN
INC000000462109,Others,Remedy Application Service
INC000000462015,Others,n/a
INC000000462014,Others,Remedy Application Service
INC000000462013,Others,REMADMIN
INC000000462012,Others,JAVIERS
INC000000462110,VVVIP,MAGRACIA
INC000000462010,Others,REMADMIN
INC000000461813,Others,REMADMIN
INC000000461913,Others,REMADMIN
INC000000461910,Others,REMADMIN
INC000000461909,Others,1/F SWTSO
INC000000461914,Others,REMADMIN
INC000000461911,Others,REMADMIN
INC000000461812,Others,REMADMIN
INC000000461811,Others,REMADMIN
INC000000461810,Others,REMADMIN
INC000000461610,Others,1/F SWTSO
INC000000461709,Others,activationuser
INC000000461711,Others,1/F SWTSO
INC000000461710,Others,activationuser
INC000000461609,Others,activationuser
INC000000461509,Others,REMADMIN
INC000000461409,Others,1/F SWTSO
INC000000461341,Others,GARICAK
INC000000461340,Others,activationuser
INC000000461336,Others,n/a
INC000000461335,Others,n/a
INC000000461332,Others,REMADMIN
INC000000461231,Others,REMADMIN
INC000000461329,Others,GARICAK
INC000000461227,Others,GARICAK
INC000000461328,Others,1/F SWTSO
INC000000461326,Others,HOHYC
INC000000461325,Others,HOHYC
INC000000461324,Others,HOHYC
INC000000461323,Others,HOHYC
INC000000461322,Others,HOHYC
INC000000461321,Others,HOHYC
INC000000461320,Others,HOHYC
INC000000461318,Others,1/F SWTSO
INC000000461319,Others,REMADMIN
INC000000461316,Others,MAGRACIA
